Population Name,Latitude,Longitude,Coordinate Precision,Species
USDA Illinois,41.64,-89.54,Exact,Helianthus grosseserratus
USDA Iowa,42.23,-96.2,Exact,Helianthus grosseserratus
USDA Kansas,37.17,-94.85,Exact,Helianthus grosseserratus
USDA Mississippi,33.47,-89.72,Exact,Helianthus grosseserratus
USDA Nebraska,41.15,-100.75,Exact,Helianthus grosseserratus
USDA North Dakota,46.65,-97.23,Exact,Helianthus grosseserratus
USDA Oklahoma,35.4,-94.58,Exact,Helianthus grosseserratus
USDA Wisconsin,42.95,-89.78,Exact,Helianthus grosseserratus
USDA Alabama,34.1665,-85.6846,County-level,Helianthus verticillatus
USDA Tennessee,35.648,-88.864694,County-level,Helianthus verticillatus
Alabama1,34.1665,-85.6846,County-level,Helianthus verticillatus
Alabama2,34.1665,-85.6846,County-level,Helianthus verticillatus
Georgia,34.2829,-85.2308,County-level,Helianthus verticillatus
Virginia,36.9459,-79.8297,County-level,Helianthus verticillatus
McNairy,35.1183,-88.5565,County-level,Helianthus verticillatus
Pinson,35.648,-88.864694,County-level,Helianthus verticillatus
Whorled Marshall,34.7729,-89.4742,County-level,Helianthus sp.
Benton,34.7713,-89.1706,County-level,Helianthus sp.
Marshall,34.7729,-89.4742,County-level,Helianthus sp.
Belzonia,33.1678,-90.5258,County-level,Helianthus sp.
Tchula,33.1689,-90.0747,County-level,Helianthus sp.
Greenwood,33.528,-89.9253,County-level,Helianthus sp.
Grenada,33.7516,-89.813,County-level,Helianthus sp.
